sentimen,teks
1,@bankmandiri @bankmandiri  terimakasih kakkkk
0,@bankmandiri livin lagi down min ?
0,"@bankmandiri Mau nanya lagi, klo yg ikut comment diatas itu dr pihak Bank Mandiri? Atau kelompok tipu2 juga? "
1,"RT @bankmandiri: Sahabat, lomba foto #LebaranBarengLivin diperpanjang nih. Yuk, buruan ikutan dan dapetin kesempatan raih THR senilai total"
1,Mantap @bankmandiri sebagai bank dengan asset terbesar di Indonesia https://t.co/BAa7wAaWw7
1,"Keren nih layanan Cross Agent dari @bankmandiri dan Pos Indonesia, melayani transaksi perbankan dan jasa kurir. https://t.co/PCoeJS8rfo"
0,@bankmandiri down?
0,LIVIN TOLONG LAAHHH MAU BELANJA NIH YAKALI EROR TERUS @livinpoin @bankmandiri
0,"Livin by mandiri kenapa errorrrr jam segini heeyy, lg war tiket musikal petualangan sherina ini:(( @bankmandiri"
1,@kangpep @mandiricare @bankmandiri maintenance mas biasa jam tengah malam biasanya digunain para developer buat maintenance apps nya
0,@mandiricare @bankmandiri hallo mau login kok begini ya? Kenapa? 
1,"RT @bankmandiri: Sahabat, yuk langsung download &amp; pake super app Livin by Mandiri. Yang iconnya warna kuning ya."
0,"Tolonglah @AXA_Mandiri @bankmandiri ibu @RafifahNakhwah ini..., Jangan RUSAK REPUTASI YANG SUDAH ADA"
0,@bankmandiri livin kenapa error jam segini ya. Mau bayar proforma KOJA smaa NPCT gak bisa bisaaaaaaaaa
0,"@pitabando @Bankmandirics9 @bankmandiri Sama, saya juga tidak bisa login"
0,@bankmandiri ? Sdg kendala .. kah?
1,"RT @rekanseperjalan: Bank-bank BUMN mulai unjuk gigi, @bankmandiri terbaik. "
1,@Bankmandirics9 @bankmandiri Ok. Terimakasih.
0,@bankmandiri livin mbank error ya
0,@bankmandiri Kenapa tidak bisa login dan transfer di app Livin by Mandiri?
0,"@bankmandiri Duh transaksi terus tapi kenapa ga dapet dapet vespa nya, kalo dapet mau di pakek sunmori di cipete."
1,RT @bankmandiri: Bank Mandiri menjadi Bank BUMN terbaik dalam daftar World Best Banks 2022 versi Forbes. Pencapaian Bank Mandiri ini 
0,"@bankmandiri permisi kak, ini kenapa ya kok tiap mau top up, selalu tulisannya top up tidak berhasil"
1,Yth. @bankmandiri @mandiricare Tolong tambahkan fitur mengambil foto qris di galeri pada menu qris livin
0,@bankmandiri oi atm gw ketelen nyusahin aje lu malem malem gini
0,"@bankmandiri Itu qrt n reply isinya penipu semua, g d report? Hmmm klo yg g ngerti maen klik gimana?"
1,"@bankmandiri aku baru pake livin min,apa ngga mau kasih bmw buat diriku? 1 aja ngga apa yg warna putih. muehehehehe"
1,@bankmandiri Apakah saya bisa membuat Mandiri Debit card ini? Apa saja syaratnya?
1,@bankmandiri Klo gak ikut ber-Lebaran gimana min? 
1,@bankmandiri Apakah ini no resmi mandiri kak? 
1,@bankmandiri @mandiricare tolong bales dm ya min
0,Ada apa dengan bang @bankmandiri @mandiricare 
0,@Bankmandirics9 @bankmandiri @mandiricare Cieee mau nipu tp ketauan Kontol lu
0,@CsMandiri_754 @bankmandiri @mandiricare Mau nipu lu yakkk
0,@LivinCS @bankmandiri @mandiricare Lu palsu!! GOBLOK
0,@MANDIRI0292928 @bankmandiri @mandiricare Akun palsu. KONTOL LU!!!
1,"@bankmandiri Sudah berhasil dilakukan, terima kasih. Hanya saja memakan waktu 1 jam menurut saya terlalu lama"
0,Serem bener reply d akun @mandiricare @bankmandiri 
1,@dedifilan @bankmandiri @mandiricare Hai..Kak Untuk informasi bantuan terkait kendala yang di alami silakan lanjut
1,@bankmandiri @mandiricare Halo Mau tanya.. apakah warga negara asing bisa mempunyai akun mandiri? 
0,@bankmandiri kak saya kemarin ditelfon call center katanya dr mandiri krn saya takut penipuan bbrp menit saya matikan
0,@Mandiricanter @bankmandiri Mau nipu lo y?
0,@Bankmandirics9 @bankmandiri Gamau nipu diem loe
0,"@tvlsmn @bankmandiri Hai kak, maaf atas kendalanya. Mohon infokan detail kendala melalui Whatsapp MandiriCare "
0,@tvlsmn @bankmandiri Hai..Kak Untuk informasi bantuan terkait kendala yang di alami silakan lanjut layanan WhatsApp
0,"@mandiricare topup gagal dan saldo sudah berkurang, apakah saldo sy bisa balik? @bankmandiri"
0,"RT @bankmandiri: Kejahatan di dunia perbankan semakin marak dan meresahkan, apalagi dengan berbagai macam modus baru yang memanfaatkan "
1,@bankmandiri Ka cehek dm aku ya
0,@bankmandiri Hallo mandiri saya tidak bisa topup gimana ni error mulu dahhhhh
0,"Halo livin mandiri @bankmandiri @mandiricare ko aplikasinya ga bisa transaksi sih, pake ATM juga eror. "
1,@bankmandiri Masih install yg biru. Saya hanya akan install yg kuning kalo yg biru benar2 udah ga support
0,@billaaaiueo @bankmandiri sama saya juga seperti ini
1,@ouiimonsieur @bankmandiri @mandiricare solusinya sudah ketemu?
0,Tolong Pihak Mandiri @bankmandiri
1,Makasih ya @bankmandiri 
1,@bankmandiri apakah itu sama dengan buat rekening dari applikasi livin mandiri?
1,"Nggak perlu lagi ribet urusan duit bikin kepepet, cukup pakai aplikasi Livin untuk kemudahan transaksi di mana aja"
1,@bankmandiri halo mandiri bisa buat rekening baru langsung dari aplikasi gak yaa?
0,"Kepada Yth @bankmandiri Klo buat kode NTPN kurang jelas, ini sudah 2 hari otak2 nomer dan angkanya ga ketemu2. Mau minta tolong DJP Libur"
0,"@bankmandiri @RafifahNakhwah di up terus, sampai mereka mau bertanggung jawab kepada nasabah atas jaringan kejahatan"
1,@bankmandiri Berarti harus di ATM LINK milik Bank Mandiri seperti gambar diatas supaya free biaya tarik tunai?
0,@fcwolf @bankmandiri Jangan mau kalau disuruh wa kak
0,@fcwolf @bankmandiri Hati-hati akun penipu kak
1,"@bankmandiri min,gmana caranya cek history mutasi emoney?"
1,"@Ant9493 @bankmandiri Keknya aplikasi ngehang gitu umum deh, gw si biasa nunggu ya, itu IT dev nya pasti lgsg nanganin"
0,"@Cs_MandlrlCs @Ant9493 @bankmandiri Wkwk belajar ngetik dulu woy, kek ketikan anak TK, kalo bodoh tu sekolah jangan nipu"
0,"@Cs_MandlrlCs @Ant9493 @bankmandiri Wkwk orang yg nulis huruf depannya ga konsisten, besar kecil, udah redflag"
0,"@bankmandiri Sudah saya email, tp kenapa gak ada balasan atau arahan lain ya?"
0,@binnybunny96 @bankmandiri Uda uninstal ga bisa juga solnya
0,"@Ant9493 @bankmandiri Masalah aplikasi forced close itu cukup begini jawabannya, dan dr akun resmi centang biru kan"
0,@bankmandiri Livin baru ini tdk lebih baik dari livin lama. Transfer gagal terus. Top up ecomers gagal terus. Hadeh
1,Lagi banyak film menarik ya. Dan beruntungnya untuk Sahabat pemegang Kartu Debit Mandiri Prioritas
1,"Sahabat UMKM, @bankmandiri punya promo khusus untuk debitur/eks debitur terpilih yang memiliki histori pembayaran "
1,"Ternyata bisa lho bayar denda tilang tanpa harus dateng ke pengadilan. Caranya itu, buka aplikasi Livin by Mandiri"
1,Ini nih yang bikin Livin' by Mandiri icon warna kuning jadi spesial. @bankmandiri
1,"Sekarang apa-apa cashless, termasuk ngopi-ngopi. Nah kalau pakai fitur QR yang ada di Livin' by Mandiri"
1,@bankmandiri mau dong dapet nmax
0,Transfer dari livin ke dana statusnya berhasil tapi kok di dana tujuan gamasuk2 ya saldonyaa udah lebih dari 24jam
1,RT @bankmandiri: @yogiaditama07 yang terletak disisi kanan nama akun (centang biru tidak terdapat di dalam gambar profile picture/posisi
1,RT @bankmandiri: @yogiaditama07 halaman utama aplikasi Livin by Mandiri (logo kuning) dengan cara klik logo headset di bagian kanan atas
1,"RT @bankmandiri: Sahabat, lomba foto #LebaranBarengLivin diperpanjang nih. Yuk, buruan ikutan dan dapetin kesempatan raih THR "
0,@_livingmandiri @mandiricare @bankmandiri @DivHumas_Polri @kemkominfo akun2 palsu begini ga ditertibkan kah?
1,@GoodLifeBCA Jgn kalah @bankmandiri @bankmandiri  @promo_BRI
0,RT @bankmandiri: Apa sih yang bikin Sahabat belum mulai investasi? Bingung milihnya? Atau takut investasi bodong yang lagi rame?
0,@bankmandiri Mohon maaf mau bertanya ko saya tidak bisa mensaftar livin?
1,"@justLya_ @bankmandiri Di jalan Ahmad Yani, Jendral Sudirman bisa"
1,min bantu saya dong @bankmandiri aplikasi livin saya enggak bisa dibuka karena saya lupa password
1,"RT @bankmandiri: Mau voucher belanja agar lebih hemat belanja berbagai kebutuhan? Yuk, langsung tukerin #livinpoin Sahabat "
0,@detwooo @xmandiricarer @_Cs_B4NKM4ND1R1 @bankmandiri kntol bgt nih bot
0,@detwooo @_Cs_B4NKM4ND1R1 @bankmandiri anjing pan nyesel gue ngetag mandiri
0,@bankmandiri wakakak penipu bermunculan.. padahal sengaja gua pancing
0,@popopolarity @bankmandiri @BankBCA @BNI Isi reply nya akun bodong semua
0,@bankmandiri setor tunai. jauh banget kudu ke grogot
1,@bankmandiri selamat Bank Mandiri
1,@bankmandiri dmn setor tunai di balikpapan
0,@bankmandiri Saya belum dapat apa-apa
0,"@bankmandiri lama amat kartunya dateng min min, sampe 10hari lebih ga dateng2. Butuh tutor kirim barang kah?"
0,Orang2 harusnya sadar sih woi gunain atm jgn lama2! Ada 10x lebih transaksi kali ni. Mesin atmnya disetting dong 
0,"Notif Livin' nongol. Saya pikir ini spesial, ada promo menarik/potongan belanja gitu. Kalo cuman seperti ini mah"
0,"@bankmandiri Soon ya klo udh jadi nasabah prioritas mandiri ya min, mesti bakl lebih gampang dpt undiannya"
